Company,Building,City,Identifier,Bed,Bath,Sq Ft,Available Date,Rent Amount,Application Fee,Security Deposit,Date Logged
Regency Property Management Inc,Courtyard Apartments,Madison,"102 N. Franklin Street, #102, Madison, WI 53703",Studio,1,300,9/1/26,"$1,300",$30,$650,07_28_2026
Regency Property Management Inc,Courtyard Apartments,Madison,"102 N. Franklin Street, #111, Madison, WI 53703",Studio,1,300,n/a,"$1,080",$30,$540,07_28_2026
Regency Property Management Inc,Courtyard Apartments,Madison,"102 N. Franklin Street, #206, Madison, WI 53703",Studio,1,300,8/1/26,"$1,170",$30,$585,07_28_2026
Regency Property Management Inc,Courtyard Apartments,Madison,"102 N. Franklin Street, #307, Madison, WI 53703",Studio,1,300,n/a,"$1,185",$30,$592,07_28_2026
Regency Property Management Inc,Courtyard Apartments,Madison,"102 N. Franklin Street, #314, Madison, WI 53703",Studio,1,450,Now,"$1,295",$30,$647,07_28_2026
Regency Property Management Inc,Courtyard Apartments,Madison,"102 N. Franklin Street, #214, Madison, WI 53703",Studio,1,450,Now,"$1,285",$30,$642,07_28_2026
