Company,Building,City,Identifier,Bed,Bath,Sq Ft,Available Date,Rent Amount,Application Fee,Security Deposit,Date Logged
McKenzie Apartment Company,Waterside Apartments,Madison,28A - One Bedroom,1,1,798,9/1/2026,"$1,495",0,0,07_31_2026
McKenzie Apartment Company,Waterside Apartments,Madison,28B - One Bedroom,1,1,786,8/15/2026,"$1,495",0,0,07_31_2026
McKenzie Apartment Company,Waterside Apartments,Madison,14C - Two Bedroom,2,2,"1,071",Now,"$1,800",0,0,07_31_2026
