Company,Building,City,Identifier,Bed,Bath,Sq Ft,Available Date,Rent Amount,Application Fee,Security Deposit,Date Logged
McKenzie Apartment Company,Waterside Apartments,Madison,28K - One Bedroom,1,1,905,Now,"$1,600",0,0,07_26_2026
McKenzie Apartment Company,Waterside Apartments,Madison,28L - One Bedroom,1,1,799,8/1/2026,"$1,475",0,0,07_26_2026
McKenzie Apartment Company,Waterside Apartments,Madison,60C - One Bedroom,1,1,832,8/1/2026,"$1,500",0,0,07_26_2026
McKenzie Apartment Company,Waterside Apartments,Madison,14C - Two Bedroom,2,2,"1,071",Now,"$1,800",0,0,07_26_2026
McKenzie Apartment Company,Waterside Apartments,Madison,14E - Two Bedroom,2,2,"1,203",Now,"$1,850",0,0,07_26_2026
