Company,Building,City,Identifier,Bed,Bath,Sq Ft,Available Date,Rent Amount,Application Fee,Security Deposit,Date Logged
McKenzie Apartment Company,Legacy Apartments,Madison,E - Studio,Studio,1,621,July,"$1,450",0,0,07_27_2026
McKenzie Apartment Company,Legacy Apartments,Madison,D - One Bedroom,1,1,841,September,"$1,675",0,0,07_27_2026
McKenzie Apartment Company,Legacy Apartments,Madison,D1 - One Bedroom,1,1,811,September,"$1,650",0,0,07_27_2026
McKenzie Apartment Company,Legacy Apartments,Madison,H - One Bedroom,1,1,829,September,"$1,685",0,0,07_27_2026
McKenzie Apartment Company,Legacy Apartments,Madison,A - Two Bedroom,2,2,"1,318",September,"$2,175",0,0,07_27_2026
McKenzie Apartment Company,Legacy Apartments,Madison,K - Lofted Two Bedroom,2,2,"1,277",October,"$1,995",0,0,07_27_2026
