Company,Building,City,Identifier,Bed,Bath,Sq Ft,Available Date,Rent Amount,Application Fee,Security Deposit,Date Logged
McKenzie Apartment Company,Highland Ridge Apartments,Middleton,36D - One Bedroom Loft,1,1,675,Now,"$1,250",0,0,07_30_2026
McKenzie Apartment Company,Highland Ridge Apartments,Middleton,36J - Two Bedroom Loft,2,2,"1,099",Now,"$1,500",0,0,07_30_2026
