Company,Building,City,Identifier,Bed,Bath,Sq Ft,Available Date,Rent Amount,Application Fee,Security Deposit,Date Logged
McKenzie Apartment Company,Boulder Creek Apartments,Madison,28B - One Bedroom,1,1,786,August,"$1,495",0,0,08_01_2026
McKenzie Apartment Company,Boulder Creek Apartments,Madison,14E - Two Bedroom,2,2,"1,203",Now,"$1,855",0,0,08_01_2026
McKenzie Apartment Company,Boulder Creek Apartments,Madison,28H (Small) - Two Bedroom,2,2,"1,163",Now,"$1,805",0,0,08_01_2026
McKenzie Apartment Company,Boulder Creek Apartments,Madison,28J - Two Bedroom,2,2,"1,234",Now,"$1,875",0,0,08_01_2026
McKenzie Apartment Company,Boulder Creek Apartments,Madison,14C - Two Bedroom,2,2,"1,071",September,"$1,875",0,0,08_01_2026
McKenzie Apartment Company,Boulder Creek Apartments,Madison,28H (Large)- Two Bedroom Corporate Suite,2,2,"1,261",Now,"$2,400",0,0,08_01_2026
McKenzie Apartment Company,Boulder Creek Apartments,Madison,Townhome - Two Bedroom with Finished Basement,2,2,"1,793",October,"$2,450",0,0,08_01_2026
